City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Punta Alta,AR,-38.8759,-62.0736,68.34,58,0,17.2,clear sky
150,Katsuura,JP,35.1333,140.3,51.19,42,87,8.16,overcast clouds
151,Verkhnyaya Inta,RU,65.9811,60.3094,8.01,91,100,20.42,overcast clouds
152,East London,ZA,-33.0153,27.9116,67.03,82,9,8.16,clear sky
153,Chumikan,RU,54.7183,135.315,-1.16,91,100,13.4,overcast clouds
154,Marquette,US,46.5333,-87.6335,12.78,88,100,8.75,overcast clouds
155,Farmington,US,36.7281,-108.2187,40.39,58,0,4.61,clear sky
156,Kishapu,TZ,-3.6167,33.8667,67.28,52,100,6.02,overcast clouds
157,Kloulklubed,PW,7.0419,134.2556,84.7,73,100,12.35,overcast clouds
158,Touros,BR,-5.1989,-35.4608,77.9,75,17,7.31,few clouds
159,Phonhong,LA,18.5007,102.4166,66.02,62,0,0.72,clear sky
160,Palora,EC,-1.7,-77.9333,65.86,96,63,3.13,broken clouds
161,Nuristan,AF,35.3,70.8333,2.82,44,12,13.0,few clouds
162,Chabahar,IR,25.2919,60.643,65.77,54,18,5.7,few clouds
163,Pacific Grove,US,36.6177,-121.9166,61.95,67,0,1.99,clear sky
164,Kahului,US,20.8947,-156.47,78.82,79,75,14.97,broken clouds
165,Blytheville,US,35.9273,-89.919,43.47,52,0,8.99,clear sky
166,Mezen,RU,65.8522,44.24,10.85,81,89,13.33,overcast clouds
167,Naze,JP,28.3667,129.4833,52.72,69,100,17.52,overcast clouds
168,Tyret Pervaya,RU,53.6703,102.3106,1.53,87,100,4.9,overcast clouds
169,Popondetta,PG,-8.7537,148.2534,84.58,72,100,3.62,overcast clouds
170,Vardo,NO,70.3705,31.1107,30.96,80,89,28.12,overcast clouds
171,Henties Bay,NA,-22.116,14.2845,64.85,95,93,2.42,overcast clouds
172,Kurilsk,RU,45.2333,147.8833,31.06,93,100,36.6,snow
173,Mindelo,CV,16.8901,-24.9804,71.15,68,75,11.5,broken clouds
174,Neuquen,AR,-38.9516,-68.0591,78.69,50,0,2.3,clear sky
175,Qunduz,AF,36.729,68.857,42.24,37,100,1.05,overcast clouds
176,Gamba,GA,-2.65,10.0,76.33,85,100,4.41,overcast clouds
177,Komsomolskiy,UZ,40.4272,71.7189,29.62,80,100,4.61,mist
178,Umm Kaddadah,SD,13.6017,26.6876,69.58,29,4,14.76,clear sky
179,Posse,BR,-14.0931,-46.3694,67.05,93,100,3.29,overcast clouds
180,Zhigansk,RU,66.7697,123.3711,-18.17,97,100,13.11,overcast clouds
181,Garden City,US,42.3256,-83.331,27.32,58,40,4.0,scattered clouds
182,Chuy,UY,-33.6971,-53.4616,71.8,67,0,8.3,heavy intensity rain
183,Kolyvan,RU,55.3053,82.7391,2.05,94,100,7.16,overcast clouds
184,Kozhva,RU,65.1073,57.0459,2.28,97,65,6.93,broken clouds
185,Korla,CN,41.7597,86.1469,23.22,66,100,3.15,overcast clouds
186,Acarau,BR,-2.8856,-40.12,77.99,82,96,9.78,overcast clouds
