City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Mount Isa,AU,2021-12-22 06:31:04,-20.7333,139.5,98.37,25,75,19.57
199,Wajima,JP,2021-12-22 06:34:59,37.4,136.9,39.88,56,20,5.75
200,Okhotsk,RU,2021-12-22 06:35:00,59.3833,143.3,1.76,74,100,18.95
201,Sisian,AM,2021-12-22 06:35:00,39.5256,46.0251,28.76,72,56,14.99
202,Souillac,MU,2021-12-22 06:35:01,-20.5167,57.5167,81.36,74,75,16.11
203,Huarmey,PE,2021-12-22 06:35:01,-10.0681,-78.1522,67.23,88,0,6.15
204,Ingham,US,2021-12-22 06:35:01,42.6,-84.3833,31.75,70,90,19.57
205,Sobolevo,RU,2021-12-22 06:35:02,54.4299,31.8996,9.27,92,98,9.28
206,Mitu,CO,2021-12-22 06:35:02,1.1983,-70.1733,72.05,99,100,1.41
207,Bandarbeyla,SO,2021-12-22 06:32:17,9.4942,50.8122,80.83,61,73,14.61
208,Nelson Bay,AU,2021-12-22 06:34:54,-32.7167,152.15,78.1,80,100,1.99
209,Santander Jimenez,MX,2021-12-22 06:35:03,24.2167,-98.4667,56.66,84,0,3.31
210,Baykit,RU,2021-12-22 06:32:22,61.67,96.37,-13.79,96,100,2.01
211,Umea,SE,2021-12-22 06:35:04,63.8284,20.2597,4.93,92,90,5.75
212,Gilgit,PK,2021-12-22 06:35:04,35.9221,74.3087,39.45,39,98,2.04
213,Jalapa,MX,2021-12-22 06:30:52,19.5333,-96.9167,55.98,96,100,1.66
214,Cidreira,BR,2021-12-22 06:35:05,-30.1811,-50.2056,70.48,94,9,6.55
215,Sinegorye,RU,2021-12-22 06:35:05,62.0788,150.477,-26.21,94,100,0.83
216,Wamba,NG,2021-12-22 06:35:06,8.9333,8.6,75.02,30,19,3.27
217,Broome,US,2021-12-22 06:35:06,42.2506,-75.833,33.01,79,1,4.0
218,Wanning,CN,2021-12-22 06:35:07,18.8003,110.3967,73.47,71,73,9.1
219,Maoming,CN,2021-12-22 06:35:07,21.65,110.9,72.37,67,100,2.24
220,Kapoeta,SS,2021-12-22 06:35:07,4.7717,33.5903,86.45,42,10,16.78
221,Mizan Teferi,ET,2021-12-22 06:35:08,6.9833,35.5833,74.28,65,21,0.65
222,Bilma,NE,2021-12-22 06:35:08,18.6853,12.9164,56.77,24,1,8.5
223,Guerrero Negro,MX,2021-12-22 06:34:02,27.9769,-114.0611,61.41,66,95,9.53
224,Heswall,GB,2021-12-22 06:35:09,53.3273,-3.0965,38.08,86,0,5.99
225,Tuktoyaktuk,CA,2021-12-22 06:35:09,69.4541,-133.0374,-9.4,77,75,13.8
226,Cayenne,GF,2021-12-22 06:35:10,4.9333,-52.3333,77.09,92,75,7.0
227,Tautira,PF,2021-12-22 06:35:10,-17.7333,-149.15,75.22,78,100,14.81
228,Manokwari,ID,2021-12-22 06:35:11,-0.8667,134.0833,82.4,79,100,11.45
229,Qaqortoq,GL,2021-12-22 06:35:11,60.7167,-46.0333,45.1,69,100,9.69
230,Pereleshinskiy,RU,2021-12-22 06:35:12,51.7148,40.1953,-2.29,83,100,8.32
231,Avera,US,2021-12-22 06:35:12,33.194,-82.5271,42.75,89,100,6.85
232,Pacific Grove,US,2021-12-22 06:35:13,36.6177,-121.9166,54.66,79,100,3.0
233,Ngunguru,NZ,2021-12-22 06:35:13,-35.6167,174.5,71.17,71,100,8.68
234,Lavrentiya,RU,2021-12-22 06:35:13,65.5833,-171.0,4.21,74,100,6.33
235,Richards Bay,ZA,2021-12-22 06:34:45,-28.783,32.0377,79.27,67,100,11.3
236,Flinders,AU,2021-12-22 06:35:14,-34.5833,150.8552,75.2,74,100,9.89
237,Iqaluit,CA,2021-12-22 06:35:15,63.7506,-68.5145,11.93,85,90,4.0
238,Hithadhoo,MV,2021-12-22 06:35:15,-0.6,73.0833,81.84,69,88,1.16
239,Sechura,PE,2021-12-22 06:35:15,-5.5569,-80.8222,68.02,83,96,8.05
240,Rochegda,RU,2021-12-22 06:35:16,62.8,43.25,-1.5,96,98,5.35
241,Tallahassee,US,2021-12-22 06:32:02,30.4383,-84.2807,46.85,96,90,1.99
242,Gushikawa,JP,2021-12-22 06:35:17,26.3544,127.8686,69.8,94,90,9.22
243,Murray Bridge,AU,2021-12-22 06:35:17,-35.1167,139.2667,87.31,54,0,17.07
244,Saint George,US,2021-12-22 06:31:05,37.1041,-113.5841,34.39,80,1,3.44
245,Saskylakh,RU,2021-12-22 06:35:18,71.9167,114.0833,-26.23,100,84,4.14
246,Carauari,BR,2021-12-22 06:35:18,-4.8828,-66.8958,73.17,99,100,0.83
247,Muswellbrook,AU,2021-12-22 06:35:19,-32.2667,150.9,77.25,86,100,8.79
248,Faanui,PF,2021-12-22 06:35:19,-16.4833,-151.75,81.0,73,100,13.89
249,Takoradi,GH,2021-12-22 06:35:20,4.8845,-1.7554,77.2,60,28,4.81
250,Buin,CL,2021-12-22 06:35:20,-33.7333,-70.75,74.73,48,3,3.33
251,Muros,ES,2021-12-22 06:35:20,42.7762,-9.0603,60.1,83,27,19.73
252,Lompoc,US,2021-12-22 06:35:21,34.6391,-120.4579,56.79,88,1,5.75
253,Esperance,AU,2021-12-22 06:34:41,-33.8667,121.9,78.64,66,0,20.47
